Status,Exposure.Location,Street,Suburb,Date,Arrival.Time,Departure.Time,Contact,type
,Samiuz,3/57 Benjamin Way,Belconnen,23/08/2021 - Monday,6:20pm,7:30pm,Monitor,Monitor 
,Calwell Shopping Centre,7 Webber Crescent,Calwell,25/08/2021 - Wednesday,9:25am,10:05am,Monitor,Monitor 
,Clay.,2 David Street,Turner,25/08/2021 - Wednesday,10:20am,11:30am,Monitor,Monitor 
,Priceline Pharmacy Woden,"Shop G98, Westfield Woden",Phillip,27/08/2021 - Friday,8:50am,6:00pm,Close,Close 
,Tikka Take,Shop 6/21 Genge Street,Canberra City,25/08/2021 - Wednesday,7:30pm,8:30pm,Monitor,Monitor 
,Woolworths Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,26/08/2021 - Thursday,3:15pm,4:10pm,Casual,Casual 
,Coffee Guru Lanyon,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,26/08/2021 - Thursday,3:10pm,3:50pm,Monitor,Monitor 
,Lanyon Newsagency & Gift Shop,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,26/08/2021 - Thursday,3:40pm,4:30pm,Monitor,Monitor 
,Sushi Island Lanyon,14/3 Sidney Nolan St,Conder,26/08/2021 - Thursday,3:50pm,4:30pm,Monitor,Monitor 
,Woolworths Woden,"Westfield Woden, Keltie Street",Phillip,26/08/2021 - Thursday,7:45am,8:30am,Casual,Casual 
,Woolworths Woden,"Westfield Woden, Keltie Street",Phillip,26/08/2021 - Thursday,1:20pm,2:10pm,Casual,Casual 
,Woolworths Woden,"Westfield Woden, Keltie Street",Phillip,27/08/2021 - Friday,7:50am,8:30am,Casual,Casual 
,Liquorland Woden,"Westfield Woden, Keltie Street",Phillip,27/08/2021 - Friday,4:40pm,5:30pm,Monitor,Monitor 
,Priceline Pharmacy Woden,"Westfield Woden, Keltie Street",Phillip,29/08/2021 - Sunday,12:45pm,2:30pm,Close,Close 
,Woolworths Weston Creek,Corner Brierly Street and Mahony Court,Weston,29/08/2021 - Sunday,2:50pm,4:00pm,Casual,Casual 
,BWS Weston Creek,Corner Brierly Street and Mahony Court,Weston,29/08/2021 - Sunday,3:30pm,4:10pm,Monitor,Monitor 
,Westfield Woden,"Westfield Woden, Keltie Street",Phillip,26/08/2021 - Thursday,7:45am,5:00pm,Monitor,Monitor 
,Westfield Woden,"Westfield Woden, Keltie Street",Phillip,27/08/2021 - Friday,7:45am,5:00pm,Monitor,Monitor 
,Westfield Woden,"Westfield Woden, Keltie Street",Phillip,28/08/2021 - Saturday,7:45am,5:00pm,Monitor,Monitor 
,BP Phillip,166 Melrose Drive,Phillip,27/08/2021 - Friday,11:20am,12:05pm,Monitor,Monitor 
,Woolworths Charnwood,25-30 Charnwood Place,Charnwood,30/08/2021 - Monday,7:00am,8:20am,Casual,Casual 
,Australia Post Braddon,2c/32 Mort Street,Braddon,27/08/2021 - Friday,8:40am,9:30am,Monitor,Monitor 
,Raku Canberra Centre,"Shop DG36C, Canberra Centre, 148 Bunda Street",Canberra City,21/08/2021 - Saturday,6:10pm,7:00pm,Monitor,Monitor 
,Universal Phone Services Canberra Centre,"Shop AG14, Canberra Centre, 148 Bunda Street",Canberra City,23/08/2021 - Monday,10:35am,11:30am,Casual,Casual 
,Optus Canberra Centre,"Shop AG12B, Canberra Centre, 148 Bunda Street",Canberra City,25/08/2021 - Wednesday,2:40pm,3:30pm,Casual,Casual 
,Universal Phone Services Canberra Centre,"Shop AG14, Canberra Centre, 148 Bunda Street",Canberra City,25/08/2021 - Wednesday,2:50pm,3:45pm,Monitor,Monitor 
,Saint Clare of Assisi Primary School,Box Hill Avenue and Heidelberg Street,Conder,26/08/2021 - Thursday,8:00am,3:30pm,Close,Close 
,Saint Clare of Assisi Outside School Hours Care (OSHC),Box Hill Avenue and Heidelberg Street,Conder,26/08/2021 - Thursday,8:00am,8:30am,Casual,Casual 
,Saint Clare of Assisi Outside School Hours Care (OSHC),Box Hill Avenue and Heidelberg Street,Conder,26/08/2021 - Thursday,4:00pm,4:30pm,Casual,Casual 
,Woolworths Weston Creek,Corner Brierly Street and Mahony Court,Weston,27/08/2021 - Friday,4:40pm,5:20pm,Monitor,Monitor 
,Woolworths Wanniassa,"Erindale Shopping Centre, 50-68 Comrie Street",Wanniassa,29/08/2021 - Sunday,4:50pm,5:35pm,Monitor,Monitor 
,Kingsley's Chicken Conder,"Lanyon Marketplace, 4 Sidney Nolan Street",Conder,26/08/2021 - Thursday,3:40pm,4:30pm,Monitor,Monitor 
,7-Eleven Braddon,20 Mort Street,Braddon,29/08/2021 - Sunday,5:00pm,5:45pm,Monitor,Monitor 
,Supabarn Express Watson,5 Watson Place,Watson,29/08/2021 - Sunday,6:00pm,6:40pm,Monitor,Monitor 
,Westfield Woden,"Westfield Woden, Keltie Street",Phillip,28/08/2021 - Saturday,4:00pm,5:15pm,Monitor,Monitor 
,Woolworths Woden,"Westfield Woden, Keltie Street",Phillip,28/08/2021 - Saturday,4:10pm,5:15pm,Casual,Casual 
,Coles Manuka,Franklin Street and Flinders Way,Griffith,27/08/2021 - Friday,11:40am,12:20pm,Monitor,Monitor 
,Grill'd Manuka,1/40-42 Franklin Street,Griffith,27/08/2021 - Friday,11:40am,12:15pm,Monitor,Monitor 
,Coles Chisholm,42 Halley Street,Chisholm,27/08/2021 - Friday,1:00pm,1:40pm,Monitor,Monitor 
,McDonalds Erindale,Corner Ricardo Street and McBryde Crescent,Wanniassa,27/08/2021 - Friday,5:40pm,6:20pm,Casual,Casual 
,Indian Affair,64 Colbee Court,Phillip,27/08/2021 - Friday,6:55pm,7:35pm,Monitor,Monitor 
